Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2017-07-14,18:00,Wisła Płock,0–2,Lechia Gdańsk,6889,Stadion im. Kazimierza Górskiego,Jarosław Przybył,Match Report,
Regular Season,1,Fri,2017-07-14,20:30,Pogoń Szczecin,1–2,Wisła Kraków,8289,Stadion Miejski im. Floriana Krygiera,Paweł Raczkowski,Match Report,
Regular Season,1,Sat,2017-07-15,18:00,Cracovia,1–1,Piast Gliwice,8109,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Kwiatkowski,Match Report,
Regular Season,1,Sat,2017-07-15,20:30,Górnik Zabrze,3–1,Legia Warsaw,22708,Arena Zabrze,Tomasz Musiał,Match Report,
Regular Season,1,Sun,2017-07-16,15:30,Arka Gdynia,2–0,Śląsk Wrocław,10083,Stadion GOSiR,Daniel Stefański,Match Report,
Regular Season,1,Sun,2017-07-16,15:30,Nieciecza,0–1,Jagiellonia,3977,Stadion Bruk-Bet,Krzysztof Jakubik,Match Report,
Regular Season,1,Sun,2017-07-16,18:00,Lech Poznań,0–0,Nowy Sącz,18677,INEA stadion,Paweł Gil,Match Report,
Regular Season,1,Mon,2017-07-17,18:00,Korona Kielce,0–1,Zagłębie Lubin,6463,Kolporter Arena,Szymon Marciniak,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2017-07-21,18:00,Nowy Sącz,0–0,Arka Gdynia,2646,Stadion Bruk-Bet,Bartosz Frankowski,Match Report,
Regular Season,2,Fri,2017-07-21,20:30,Wisła Kraków,1–0,Nieciecza,11811,Stadion Miejski im. Henryka Reymana,Jarosław Przybył,Match Report,
Regular Season,2,Sat,2017-07-22,15:30,Piast Gliwice,1–2,Pogoń Szczecin,4555,Stadion Miejski,Mariusz Zlotek,Match Report,
Regular Season,2,Sat,2017-07-22,18:00,Lechia Gdańsk,0–1,Cracovia,15624,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,2,Sat,2017-07-22,20:30,Legia Warsaw,1–1,Korona Kielce,15041,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Regular Season,2,Sun,2017-07-23,15:30,Wisła Płock,1–0,Lech Poznań,6511,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
Regular Season,2,Sun,2017-07-23,18:00,Jagiellonia,2–1,Górnik Zabrze,11236,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,2,Mon,2017-07-24,18:00,Zagłębie Lubin,1–0,Śląsk Wrocław,8251,Stadion Zagłębia Lubin,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2017-07-28,18:00,Nieciecza,1–1,Zagłębie Lubin,3105,Stadion Bruk-Bet,Paweł Gil,Match Report,
Regular Season,3,Fri,2017-07-28,20:30,Śląsk Wrocław,3–2,Lechia Gdańsk,13495,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,3,Sat,2017-07-29,18:00,Legia Warsaw,2–0,Nowy Sącz,14393,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Kwiatkowski,Match Report,
Regular Season,3,Sat,2017-07-29,20:30,Górnik Zabrze,3–2,Wisła Kraków,22708,Arena Zabrze,Szymon Marciniak,Match Report,
Regular Season,3,Sun,2017-07-30,15:30,Pogoń Szczecin,0–1,Jagiellonia,8356,Stadion Miejski im. Floriana Krygiera,Jarosław Przybył,Match Report,
Regular Season,3,Sun,2017-07-30,15:30,Arka Gdynia,1–1,Wisła Płock,8142,Stadion GOSiR,Paweł Raczkowski,Match Report,
Regular Season,3,Sun,2017-07-30,18:00,Lech Poznań,5–1,Piast Gliwice,13783,INEA stadion,Daniel Stefański,Match Report,
Regular Season,3,Mon,2017-07-31,18:00,Korona Kielce,4–2,Cracovia,8270,Kolporter Arena,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2017-08-04,18:00,Piast Gliwice,1–1,Śląsk Wrocław,4273,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,4,Fri,2017-08-04,20:30,Wisła Płock,0–1,Wisła Kraków,5501,Stadion im. Kazimierza Górskiego,Bartosz Frankowski,Match Report,
Regular Season,4,Sat,2017-08-05,15:30,Lechia Gdańsk,1–1,Górnik Zabrze,14567,Stadion Energa Gdańsk,Daniel Stefański,Match Report,
Regular Season,4,Sat,2017-08-05,18:00,Zagłębie Lubin,3–0,Pogoń Szczecin,6089,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
