Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2020-08-21,18:00,Zagłębie Lubin,2–1,Lech Poznań,3968,Stadion Zagłębia Lubin,Bartosz Frankowski,Match Report,
1,Sat,2020-08-22,15:00,Cracovia,2–1,Pogoń Szczecin,4053,Stadion Cracovii,Paweł Raczkowski,Match Report,
1,Sat,2020-08-22,17:30,Śląsk Wrocław,2–0,Piast Gliwice,5259,Stadion Miejski,Wojciech Myć,Match Report,
1,Sat,2020-08-22,20:00,RKS Raków,1–2,Legia Warsaw,1985,Stadion GKS-u,Jarosław Przybył,Match Report,
1,Sun,2020-08-23,12:30,Wisła Płock,1–1,Stal Mielec,1318,Stadion im. Kazimierza Górskiego,Sebastian Jarzębak,Match Report,
1,Sun,2020-08-23,15:00,Warta Poznań,0–1,Lechia Gdańsk,2381,Stadion Groclinu Dyskobolii,Szymon Marciniak,Match Report,
1,Sun,2020-08-23,17:30,Górnik Zabrze,4–2,Podbeskidzie,7368,Arena Zabrze,Mariusz Zlotek,Match Report,
1,Mon,2020-08-24,18:00,Jagiellonia,1–1,Wisła Kraków,5070,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,
2,Fri,2020-08-28,18:00,Zagłębie Lubin,1–0,Warta Poznań,2486,Stadion Zagłębia Lubin,Dominik Sulikowski,Match Report,
2,Fri,2020-08-28,20:30,Stal Mielec,0–2,Górnik Zabrze,3420,Stadion MOSiR,Paweł Gil,Match Report,
2,Sat,2020-08-29,15:00,Lechia Gdańsk,1–3,RKS Raków,5424,Stadion Energa Gdańsk,Paweł Raczkowski,Match Report,
2,Sat,2020-08-29,17:30,Wisła Kraków,1–3,Śląsk Wrocław,5044,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
2,Sat,2020-08-29,20:00,Legia Warsaw,1–2,Jagiellonia,10000,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
2,Sun,2020-08-30,12:30,Piast Gliwice,0–1,Pogoń Szczecin,2578,Stadion Miejski,Daniel Stefański,Match Report,
2,Sun,2020-08-30,15:00,Podbeskidzie,2–2,Cracovia,4308,Stadion Miejski BKS Stal,Jarosław Przybył,Match Report,
2,Sun,2020-08-30,17:30,Lech Poznań,2–2,Wisła Płock,8226,INEA stadion,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,
3,Fri,2020-09-11,18:00,Jagiellonia,2–2,Podbeskidzie,5065,Stadion Miejski,Szymon Marciniak,Match Report,
3,Fri,2020-09-11,20:30,Wisła Płock,0–1,Legia Warsaw,1500,Stadion im. Kazimierza Górskiego,Krzysztof Jakubik,Match Report,
3,Sat,2020-09-12,15:00,Cracovia,1–1,Stal Mielec,5439,Stadion Cracovii,Tomasz Kwiatkowski,Match Report,
3,Sat,2020-09-12,17:30,Warta Poznań,0–0,Piast Gliwice,1872,Stadion Groclinu Dyskobolii,Jarosław Przybył,Match Report,
3,Sat,2020-09-12,20:00,Śląsk Wrocław,3–3,Lech Poznań,11535,Stadion Miejski,Piotr Lasyk,Match Report,
3,Sun,2020-09-13,15:00,Pogoń Szczecin,2–2,Wisła Kraków,1877,Stadion Miejski im. Floriana Krygiera,Mariusz Zlotek,Match Report,
3,Sun,2020-09-13,17:30,Górnik Zabrze,3–0,Lechia Gdańsk,10270,Arena Zabrze,Daniel Stefański,Match Report,
3,Mon,2020-09-14,18:00,RKS Raków,2–1,Zagłębie Lubin,1675,Stadion GKS-u,Paweł Gil,Match Report,
,,,,,,,,,,,
